timestamp, peerConnectionCount, cpuUsage
2021-03-06T08:49:40+08:00, 0, 95.774648
2021-03-06T08:49:43+08:00, 0, 89.105058
2021-03-06T08:49:46+08:00, 0, 80.628272
2021-03-06T08:49:49+08:00, 0, 86.067708
2021-03-06T08:49:53+08:00, 0, 80.100756
2021-03-06T08:49:55+08:00, 0, 95.855615
2021-03-06T08:49:58+08:00, 0, 72.178478
2021-03-06T08:50:01+08:00, 0, 83.333333
2021-03-06T08:50:04+08:00, 0, 72.395833
2021-03-06T08:50:07+08:00, 0, 65.885417
2021-03-06T08:50:10+08:00, 0, 80.989583
2021-03-06T08:50:13+08:00, 0, 73.307292
2021-03-06T08:50:16+08:00, 0, 77.734375
2021-03-06T08:50:19+08:00, 0, 77.213542
2021-03-06T08:50:22+08:00, 0, 97.656250
2021-03-06T08:50:25+08:00, 0, 98.177083
2021-03-06T08:50:28+08:00, 0, 63.802083
2021-03-06T08:50:31+08:00, 0, 75.260417
2021-03-06T08:50:35+08:00, 0, 92.748092
2021-03-06T08:50:37+08:00, 0, 99.333333
2021-03-06T08:50:41+08:00, 0, 99.493029
2021-03-06T08:50:43+08:00, 0, 99.732262
2021-03-06T08:50:46+08:00, 0, 100.000000
2021-03-06T08:50:50+08:00, 0, 100.000000
2021-03-06T08:50:52+08:00, 0, 100.000000
2021-03-06T08:50:55+08:00, 0, 100.000000
2021-03-06T08:50:59+08:00, 0, 100.000000
2021-03-06T08:51:01+08:00, 0, 100.000000
2021-03-06T08:51:04+08:00, 0, 100.000000
2021-03-06T08:51:07+08:00, 0, 99.475066
2021-03-06T08:51:10+08:00, 0, 84.375000
2021-03-06T08:51:13+08:00, 0, 73.046875
2021-03-06T08:51:16+08:00, 0, 87.500000
2021-03-06T08:51:20+08:00, 0, 75.835476
2021-03-06T08:51:22+08:00, 0, 98.153034
2021-03-06T08:51:25+08:00, 0, 75.260417
2021-03-06T08:51:28+08:00, 0, 67.057292
2021-03-06T08:51:31+08:00, 0, 75.130208
2021-03-06T08:51:34+08:00, 0, 53.776042
2021-03-06T08:51:37+08:00, 0, 65.625000
2021-03-06T08:51:40+08:00, 0, 70.572917
2021-03-06T08:51:43+08:00, 0, 90.885417
2021-03-06T08:51:46+08:00, 0, 80.338542
2021-03-06T08:51:49+08:00, 0, 88.020833
2021-03-06T08:51:52+08:00, 0, 80.338542
2021-03-06T08:51:55+08:00, 0, 94.661458
2021-03-06T08:51:58+08:00, 0, 89.973958
2021-03-06T08:52:01+08:00, 0, 86.979167
2021-03-06T08:52:04+08:00, 0, 58.593750
2021-03-06T08:52:07+08:00, 0, 77.473958
2021-03-06T08:52:10+08:00, 0, 61.067708
2021-03-06T08:52:13+08:00, 0, 61.197917
2021-03-06T08:52:16+08:00, 0, 73.046875
2021-03-06T08:52:19+08:00, 0, 84.765625
2021-03-06T08:52:22+08:00, 0, 72.005208
2021-03-06T08:52:25+08:00, 0, 67.578125
2021-03-06T08:52:28+08:00, 0, 54.427083
2021-03-06T08:52:31+08:00, 0, 62.613195
2021-03-06T08:52:34+08:00, 0, 64.482307
2021-03-06T08:52:37+08:00, 0, 59.765625
2021-03-06T08:52:40+08:00, 0, 61.979167
2021-03-06T08:52:43+08:00, 0, 79.947917
2021-03-06T08:52:46+08:00, 0, 93.619792
2021-03-06T08:52:49+08:00, 0, 68.098958
2021-03-06T08:52:52+08:00, 0, 80.859375
2021-03-06T08:52:55+08:00, 0, 72.265625
2021-03-06T08:52:58+08:00, 0, 78.906250
2021-03-06T08:53:01+08:00, 0, 69.010417
2021-03-06T08:53:04+08:00, 0, 58.984375
2021-03-06T08:53:07+08:00, 0, 56.901042
2021-03-06T08:53:11+08:00, 0, 88.615783
2021-03-06T08:53:13+08:00, 0, 85.845347
2021-03-06T08:53:16+08:00, 0, 68.098958
2021-03-06T08:53:19+08:00, 0, 65.755208
2021-03-06T08:53:22+08:00, 0, 64.322917
2021-03-06T08:53:25+08:00, 0, 65.324675
2021-03-06T08:53:28+08:00, 0, 56.135770
2021-03-06T08:53:31+08:00, 0, 33.984375
2021-03-06T08:53:34+08:00, 0, 60.677083
2021-03-06T08:53:37+08:00, 0, 64.062500
2021-03-06T08:53:40+08:00, 0, 82.383420
2021-03-06T08:53:43+08:00, 0, 71.335079
2021-03-06T08:53:46+08:00, 0, 81.510417
2021-03-06T08:53:49+08:00, 0, 63.671875
2021-03-06T08:53:52+08:00, 0, 70.312500
2021-03-06T08:53:55+08:00, 0, 67.968750
2021-03-06T08:53:58+08:00, 0, 81.510417
2021-03-06T08:54:02+08:00, 0, 73.189327
2021-03-06T08:54:04+08:00, 0, 85.046729
2021-03-06T08:54:07+08:00, 0, 90.234375
2021-03-06T08:54:10+08:00, 0, 86.458333
2021-03-06T08:54:13+08:00, 0, 72.005208
2021-03-06T08:54:16+08:00, 0, 65.104167
2021-03-06T08:54:19+08:00, 0, 77.343750
2021-03-06T08:54:22+08:00, 0, 72.135417
2021-03-06T08:54:25+08:00, 0, 43.880208
2021-03-06T08:54:28+08:00, 0, 46.744792
2021-03-06T08:54:31+08:00, 0, 55.208333
2021-03-06T08:54:35+08:00, 0, 93.966624
2021-03-06T08:54:37+08:00, 0, 100.000000
2021-03-06T08:54:40+08:00, 0, 70.052083
2021-03-06T08:54:43+08:00, 0, 94.148244
2021-03-06T08:54:47+08:00, 0, 98.110831
2021-03-06T08:54:49+08:00, 0, 92.172740
2021-03-06T08:54:52+08:00, 0, 66.536458
2021-03-06T08:54:55+08:00, 0, 82.421875
2021-03-06T08:54:59+08:00, 0, 84.566327
2021-03-06T08:55:01+08:00, 0, 91.755319
2021-03-06T08:55:05+08:00, 0, 97.548387
2021-03-06T08:55:08+08:00, 0, 100.000000
2021-03-06T08:55:10+08:00, 0, 96.657382
2021-03-06T08:55:14+08:00, 0, 96.267696
2021-03-06T08:55:16+08:00, 0, 100.000000
